2011-12-01 10:30:02	580	469	659	24
2011-12-02 10:30:01	703	373	840	19
2011-12-03 10:30:01	634	297	777	22
2011-12-04 10:30:02	543	386	593	36
2011-12-05 10:30:02	388	275	421	27
2011-12-06 10:30:01	568	401	517	17
2011-12-07 10:30:01	610	322	787	14
2011-12-08 10:30:01	704	494	792	27
2011-12-09 10:30:01	720	630	516	26
2011-12-10 10:30:02	555	646	283	28
2011-12-11 10:30:01	723	473	761	25
2011-12-12 10:30:02	499	279	546	15
2011-12-13 10:30:01	553	465	407	26
2011-12-14 10:30:02	739	612	554	32
2011-12-15 10:30:02	424	291	530	15
2011-12-16 10:30:02	581	419	569	31
2011-12-17 10:30:01	395	280	410	20
2011-12-18 10:30:02	536	343	592	24
2011-12-19 10:30:01	373	275	413	24
2011-12-20 10:30:01	635	402	651	26
2011-12-21 10:30:01	593	229	951	14
2011-12-22 10:30:01	627	497	688	30
2011-12-23 10:30:01	541	271	698	31
2011-12-24 10:30:02	739	399	809	35
2011-12-25 10:30:01	575	442	638	25
2011-12-26 10:30:02	480	424	602	34
2011-12-27 10:30:01	441	358	524	26
2011-12-28 10:30:02	788	561	778	27
2011-12-29 10:30:02	693	398	859	49
2011-12-30 10:30:01	892	411	904	32
2011-12-31 10:30:01	601	307	748	20
2012-01-01 10:30:02	472	343	486	13
2012-01-02 10:30:01	478	304	514	10
2012-01-03 10:30:02	581	310	791	17
2012-01-04 10:30:01	439	369	515	19
2012-01-05 10:30:01	520	423	440	20
2012-01-06 10:30:02	275	195	246	14
2012-01-07 10:30:02	477	361	470	31
2012-01-08 10:30:01	731	430	691	33
2012-01-09 10:30:02	481	333	443	19
2012-01-10 10:30:01	515	380	509	9
2012-01-11 10:30:01	512	340	555	22
2012-01-12 10:30:02	328	225	339	20
2012-01-13 10:30:01	639	533	408	34
2012-01-14 10:30:01	494	408	364	37
2012-01-15 10:30:02	547	326	424	30
2012-01-16 10:30:01	427	394	374	18
2012-01-17 10:30:01	345	302	340	23
2012-01-18 10:30:02	342	270	279	15
2012-01-19 10:30:02	386	195	374	25
2012-01-20 10:30:01	272	175	329	13
2012-01-21 10:30:02	184	145	203	8
2012-01-22 10:30:02	413	295	382	25
2012-01-23 10:30:01	169	200	88	12
2012-01-24 10:30:02	222	182	176	19
2012-01-25 10:30:01	317	221	371	17
2012-01-26 10:30:01	292	77	431	5
2012-01-27 10:30:01	299	150	449	4
2012-01-28 10:30:01	319	225	367	16
2012-01-29 10:30:02	312	247	349	15
2012-01-30 10:30:02	467	221	613	15
2012-01-31 10:30:02	463	226	575	18
2012-02-01 10:30:01	569	356	582	15
2012-02-02 10:30:02	522	406	639	25
2012-02-03 10:30:01	572	428	567	74
2012-02-04 10:30:02	498	308	581	78
2012-02-05 10:30:02	509	344	654	27
2012-02-06 10:30:02	379	190	503	11
2012-02-07 10:30:01	531	339	661	23
2012-02-08 10:30:01	458	386	372	57
2012-02-09 10:30:02	473	348	526	20
2012-02-10 10:30:01	661	495	562	33
2012-02-11 10:30:02	551	428	475	24
2012-02-12 10:30:01	515	314	649	25
2012-02-13 10:30:02	597	424	561	34
2012-02-14 10:30:01	526	372	514	22
2012-02-15 10:30:02	706	434	679	23
2012-02-16 10:30:01	653	412	689	27
2012-02-17 10:30:01	826	581	863	44
2012-02-18 10:30:01	995	558	1031	62
2012-02-19 10:30:02	845	432	884	31
2012-02-20 10:30:01	858	586	895	53
2012-02-21 10:30:02	666	399	846	39
2012-02-22 10:30:02	865	751	736	64
2012-02-23 10:30:01	721	593	640	22
2012-02-24 10:30:01	802	707	588	41
2012-02-25 10:30:02	770	644	655	39
2012-02-26 10:30:02	1002	768	770	59
2012-02-27 10:30:02	780	539	791	24
2012-02-28 10:30:02	829	648	818	30
